Transaction ID,Transaction
Trans1,"Bulk Fruits, Bulk Fruits"
Trans2,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans3,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies, Cleaning Supplies"
Trans4,"Bakery Items, Bulk Fruits, Bulk Fruits"
Trans5,"Garden Supplies, Tires, Garden Supplies"
Trans6,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans7,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans8,"Bakery Items, Optical Items, Optical Items, Optical Items"
Trans9,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans10,"Jewelry, Bulk Vegetables"
Trans11,"Bakery Items, Bulk Fruits, Bulk Fruits"
Trans12,"Optical Items, Bulk Fruits, Bulk Fruits"
Trans13,"Cleaning Supplies, Cleaning Supplies"
Trans14,"Tires, Tires"
Trans15,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans16,"Bakery Items, Garden Supplies"
Trans17,"Bulk Fruits, Tires, Jewelry, Tires"
Trans18,"Bakery Items, Bulk Fruits"
Trans19,"Bakery Items, Optical Items, Optical Items"
Trans20,"Bulk Fruits, Bulk Fruits"
Trans21,"Bakery Items, Garden Supplies"
Trans22,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans23,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans24,"Optical Items, Optical Items"
Trans25,"Optical Items, Optical Items"
Trans26,"Bulk Vegetables, Tires, Garden Supplies, Bulk Vegetables"
Trans27,"Bakery Items, Bulk Fruits"
Trans28,"Bulk Vegetables, Tires, Garden Supplies, Bulk Vegetables"
Trans29,"Bakery Items, Bulk Fruits"
Trans30,"Cleaning Supplies, Cleaning Supplies"
Trans31,"Bakery Items, Garden Supplies"
Trans32,"Cleaning Supplies, Cleaning Supplies"
Trans33,"Bakery Items, Garden Supplies"
Trans34,"Bakery Items, Bulk Fruits"
Trans35,"Optical Items, Optical Items"
Trans36,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans37,"Optical Items, Optical Items"
Trans38,"Bulk Fruits, Tires, Jewelry, Tires"
Trans39,"Bulk Fruits, Bulk Fruits"
Trans40,"Bakery Items, Garden Supplies"
Trans41,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans42,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans43,"Optical Items, Optical Items"
Trans44,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans45,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies, Cleaning Supplies"
Trans46,"Bulk Fruits, Bulk Fruits"
Trans47,"Bakery Items, Bulk Fruits, Bulk Fruits"
Trans48,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans49,"Optical Items, Optical Items"
Trans50,"Bakery Items, Optical Items, Optical Items, Optical Items"
Trans51,"Bakery Items, Bulk Fruits"
Trans52,"Tires, Tires"
Trans53,"Optical Items, Optical Items"
Trans54,"Bulk Vegetables, Tires, Garden Supplies, Bulk Vegetables"
Trans55,"Bakery Items, Garden Supplies"
Trans56,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans57,"Bakery Items, Bulk Fruits"
Trans58,"Bulk Vegetables, Tires, Garden Supplies, Bulk Vegetables"
Trans59,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans60,"Optical Items, Optical Items"
Trans61,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans62,"Bulk Fruits, Tires, Jewelry, Tires"
Trans63,"Bakery Items, Bulk Fruits"
Trans64,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans65,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans66,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans67,"Optical Items, Bulk Fruits, Bulk Fruits"
Trans68,"Bakery Items, Garden Supplies"
Trans69,"Bulk Fruits, Bulk Fruits"
Trans70,"Optical Items, Optical Items"
Trans71,"Optical Items, Optical Items"
Trans72,"Bakery Items, Garden Supplies"
Trans73,"Bakery Items, Bulk Fruits"
Trans74,"Cleaning Supplies, Cleaning Supplies"
Trans75,"Bakery Items, Garden Supplies"
Trans76,"Optical Items, Optical Items"
Trans77,"Optical Items, Optical Items"
Trans78,"Tires, Tires"
Trans79,"Bakery Items, Optical Items, Optical Items"
Trans80,"Optical Items, Optical Items"
Trans81,"Optical Items, Optical Items"
Trans82,"Bakery Items, Bulk Fruits, Bulk Fruits"
Trans83,"Tires, Tires"
Trans84,"Optical Items, Optical Items"
Trans85,"Bulk Fruits, Bulk Fruits"
Trans86,"Bakery Items, Garden Supplies"
Trans87,"Optical Items, Bulk Fruits, Bulk Fruits"
Trans88,"Bakery Items, Bulk Fruits"
Trans89,"Optical Items, Optical Items"
Trans90,"Optical Items, Optical Items"
Trans91,"Bakery Items, Optical Items, Optical Items, Optical Items"
Trans92,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies, Cleaning Supplies"
Trans93,"Bulk Vegetables, Tires, Garden Supplies, Bulk Vegetables"
Trans94,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans95,"Tires, Tires"
Trans96,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans97,"Bakery Items, Optical Items, Optical Items"
Trans98,"Garden Supplies, Tires, Garden Supplies"
Trans99,"Tires, Tires"
Trans100,"Bulk Vegetables, Tires, Garden Supplies, Bulk Vegetables"
Trans101,"Bakery Items, Optical Items, Optical Items"
Trans102,"Tires, Tires"
Trans103,"Bulk Fruits, Tires, Jewelry, Tires"
Trans104,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans105,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans106,"Bakery Items, Garden Supplies"
Trans107,"Optical Items, Optical Items"
Trans108,"Bakery Items, Bulk Fruits, Bulk Fruits"
Trans109,"Bakery Items, Optical Items, Optical Items, Optical Items"
Trans110,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans111,"Bakery Items, Bulk Fruits, Bulk Fruits"
Trans112,"Optical Items, Bulk Fruits, Bulk Fruits"
Trans113,"Bakery Items, Optical Items, Optical Items, Optical Items"
Trans114,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans115,"Bakery Items, Optical Items, Optical Items"
Trans116,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans117,"Jewelry, Bulk Vegetables"
Trans118,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans119,"Bakery Items, Garden Supplies"
Trans120,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans121,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans122,"Jewelry, Bulk Vegetables"
Trans123,"Garden Supplies, Tires, Garden Supplies"
Trans124,"Bakery Items, Optical Items, Optical Items, Optical Items"
Trans125,"Bakery Items, Garden Supplies"
Trans126,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies, Cleaning Supplies"
Trans127,"Bakery Items, Bulk Fruits"
Trans128,"Cleaning Supplies, Cleaning Supplies"
Trans129,"Optical Items, Optical Items"
Trans130,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans131,"Bakery Items, Bulk Fruits"
Trans132,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans133,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans134,"Optical Items, Bulk Fruits, Bulk Fruits"
Trans135,"Bakery Items, Garden Supplies"
Trans136,"Bakery Items, Garden Supplies"
Trans137,"Bulk Vegetables, Tires, Garden Supplies, Bulk Vegetables"
Trans138,"Bakery Items, Optical Items, Optical Items, Optical Items"
Trans139,"Bulk Vegetables, Tires, Garden Supplies, Bulk Vegetables"
Trans140,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans141,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans142,"Bakery Items, Garden Supplies"
Trans143,"Cleaning Supplies, Cleaning Supplies"
Trans144,"Optical Items, Bulk Fruits, Bulk Fruits"
Trans145,"Jewelry, Bulk Vegetables"
Trans146,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans147,"Bakery Items, Bulk Fruits, Bulk Fruits"
Trans148,"Optical Items, Optical Items"
Trans149,"Garden Supplies, Tires, Garden Supplies"
Trans150,"Optical Items, Optical Items"
Trans151,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans152,"Bakery Items, Optical Items, Optical Items, Optical Items"
Trans153,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans154,"Jewelry, Bulk Vegetables"
Trans155,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies, Cleaning Supplies"
Trans156,"Jewelry, Bulk Vegetables"
Trans157,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans158,"Optical Items, Optical Items"
Trans159,"Bulk Vegetables, Tires, Garden Supplies, Bulk Vegetables"
Trans160,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans161,"Jewelry, Bulk Vegetables"
Trans162,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans163,"Jewelry, Bulk Vegetables"
Trans164,"Bakery Items, Bulk Fruits, Bulk Fruits"
Trans165,"Bulk Fruits, Bulk Fruits"
Trans166,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans167,"Bakery Items, Optical Items, Optical Items, Optical Items"
Trans168,"Bakery Items, Garden Supplies"
Trans169,"Optical Items, Bulk Fruits, Bulk Fruits"
Trans170,"Jewelry, Bulk Vegetables"
Trans171,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies, Cleaning Supplies"
Trans172,"Bulk Vegetables, Tires, Garden Supplies, Bulk Vegetables"
Trans173,"Bakery Items, Garden Supplies"
Trans174,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies, Cleaning Supplies"
Trans175,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans176,"Bakery Items, Garden Supplies"
Trans177,"Cleaning Supplies, Cleaning Supplies"
Trans178,"Optical Items, Optical Items"
Trans179,"Jewelry, Bulk Vegetables"
Trans180,"Optical Items, Optical Items"
Trans181,"Cleaning Supplies, Cleaning Supplies"
Trans182,"Bakery Items, Bulk Fruits, Bulk Fruits"
Trans183,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans184,"Bulk Fruits, Bulk Fruits"
Trans185,"Bakery Items, Garden Supplies"
Trans186,"Cleaning Supplies, Cleaning Supplies"
Trans187,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans188,"Optical Items, Bulk Fruits, Bulk Fruits"
Trans189,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans190,"Bakery Items, Bulk Fruits"
Trans191,"Jewelry, Bulk Vegetables"
Trans192,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans193,"Jewelry, Bulk Vegetables"
Trans194,"Bakery Items, Garden Supplies"
Trans195,"Optical Items, Optical Items"
Trans196,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans197,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies, Cleaning Supplies"
Trans198,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans199,"Optical Items, Bulk Fruits, Bulk Fruits"
Trans200,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans201,"Jewelry, Bulk Vegetables"
Trans202,"Bakery Items, Garden Supplies"
Trans203,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans204,"Bakery Items, Bulk Fruits"
Trans205,"Cleaning Supplies, Garden Supplies, Bulk Vegetables, Garden Supplies"
Trans206,"Bulk Fruits, Bulk Fruits"
Trans207,"Bulk Fruits, Bulk Fruits"
Trans208,"Bakery Items, Bulk Fruits, Bulk Fruits"
Trans209,"Bulk Fruits, Bulk Fruits"
Trans210,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
Trans211,"Jewelry, Bulk Vegetables"
Trans212,"Optical Items, Optical Items"
Trans213,"Jewelry, Bulk Fruits, Optical Items, Optical Items"
Trans214,"Bakery Items, Optical Items, Cleaning Supplies, Cleaning Supplies"
