Transaction ID,Transaction
Trans1,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans2,"Running Shoe, Socks, Sweatshirts"
Trans3,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans4,"Running Shoe, Sweatshirts, Modern Pants"
Trans5,"Running Shoe, Socks, Sweatshirts, Modern Pants, Soccer Shoe"
Trans6,"Running Shoe, Socks, Sweatshirts"
Trans7,"Running Shoe, Socks, Sweatshirts, Modern Pants, Tech Pants, Rash Guard, Hoodies"
Trans8,"Swimming Shirt, Socks, Sweatshirts"
Trans9,"Swimming Shirt, Rash Guard, Dry Fit V-Nick, Hoodies, Tech Pants"
Trans10,"Swimming Shirt, Rash Guard, Dry"
Trans11,"Swimming Shirt, Rash Guard, Dry Fit V-Nick"
Trans12,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Rash Guard, Hoodies, Tech Pants, Dry Fit V-Nick"
Trans13,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Rash Guard, Tech Pants, Dry Fit V-Nick, Hoodies"
Trans14,"Running Shoe, Swimming Shirt, Rash Guard, Tech Pants, Hoodies, Dry Fit V-Nick"
Trans15,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Dry Fit V-Nick, Rash Guard, Tech Pants"
Trans16,"Swimming Shirt, Soccer Shoe, Hoodies, Dry Fit V-Nick, Tech Pants, Rash Guard"
Trans17,"Running Shoe, Socks"
Trans18,"Socks, Sweatshirts, Modern Pants, Soccer Shoe, Hoodies, Rash Guard, Tech Pants, Dry Fit V-Nick"
Trans19,"Running Shoe, Swimming Shirt, Rash Guard"
Trans20,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Hoodies, Tech Pants, Rash Guard, Dry Fit V-Nick"
Trans21,"Swimming Shirt, Rash Guard, Dry Fit V-Nick"
Trans22,"Swimming Shirt, Rash Guard, Dry Fit V-Nick"
Trans23,"Running Shoe, Socks, Sweatshirts, Modern Pants, Tech Pants, Rash Guard, Hoodies"
Trans24,"Running Shoe, Sweatshirts, Modern Pants"
Trans25,"Running Shoe, Swimming Shirt, Rash Guard, Tech Pants, Hoodies, Dry Fit V-Nick"
Trans26,"Running Shoe, Swimming Shirt, Rash Guard"
Trans27,"Running Shoe, Socks"
Trans28,"Running Shoe, Socks, Sweatshirts, Modern Pants, Tech Pants, Rash Guard, Hoodies"
Trans29,"Running Shoe, Swimming Shirt, Rash Guard"
Trans30,"Running Shoe, Swimming Shirt, Rash Guard"
Trans31,"Running Shoe, Socks, Sweatshirts"
Trans32,"Running Shoe, Swimming Shirt, Rash Guard, Tech Pants, Hoodies, Dry Fit V-Nick"
Trans33,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans34,"Swimming Shirt, Socks, Sweatshirts"
Trans35,"Running Shoe, Socks, Sweatshirts"
Trans36,"Swimming Shirt, Rash Guard, Dry Fit V-Nick, Hoodies, Tech Pants"
Trans37,"Running Shoe, Sweatshirts, Modern Pants"
Trans38,"Swimming Shirt, Soccer Shoe, Hoodies, Dry Fit V-Nick, Tech Pants, Rash Guard"
Trans39,"Running Shoe, Socks, Sweatshirts"
Trans40,"Swimming Shirt, Rash Guard, Dry Fit V-Nick"
Trans41,"Running Shoe, Swimming Shirt, Rash Guard"
Trans42,"Running Shoe, Socks, Sweatshirts"
Trans43,"Running Shoe, Socks, Sweatshirts, Modern Pants, Tech Pants, Rash Guard, Hoodies"
Trans44,"Running Shoe, Swimming Shirt, Rash Guard, Tech Pants, Hoodies, Dry Fit V-Nick"
Trans45,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Rash Guard, Tech Pants, Dry Fit V-Nick, Hoodies"
Trans46,"Swimming Shirt, Socks, Sweatshirts"
Trans47,"Swimming Shirt, Rash Guard, Dry"
Trans48,"Swimming Shirt, Socks, Sweatshirts"
Trans49,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Dry Fit V-Nick, Rash Guard, Tech Pants"
Trans50,"Running Shoe, Socks, Sweatshirts, Modern Pants, Tech Pants, Rash Guard, Hoodies"
Trans51,"Swimming Shirt, Soccer Shoe, Hoodies, Dry Fit V-Nick, Tech Pants, Rash Guard"
Trans52,"Running Shoe, Socks"
Trans53,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans54,"Running Shoe, Sweatshirts, Modern Pants"
Trans55,"Running Shoe, Swimming Shirt, Rash Guard, Tech Pants, Hoodies, Dry Fit V-Nick"
Trans56,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans57,"Swimming Shirt, Rash Guard, Dry Fit V-Nick, Hoodies, Tech Pants"
Trans58,"Running Shoe, Socks, Sweatshirts"
Trans59,"Swimming Shirt, Socks, Sweatshirts"
Trans60,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans61,"Swimming Shirt, Rash Guard, Dry Fit V-Nick, Hoodies, Tech Pants"
Trans62,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Rash Guard, Tech Pants, Dry Fit V-Nick, Hoodies"
Trans63,"Running Shoe, Socks"
Trans64,"Swimming Shirt, Rash Guard, Dry"
Trans65,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans66,"Swimming Shirt, Rash Guard, Dry Fit V-Nick, Hoodies, Tech Pants"
Trans67,"Swimming Shirt, Rash Guard, Dry Fit V-Nick, Hoodies, Tech Pants"
Trans68,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans69,"Running Shoe, Swimming Shirt, Rash Guard"
Trans70,"Running Shoe, Swimming Shirt, Rash Guard"
